REGISTER,ISBN,TITLE,VOLUME,PRINTING,EDITION,LANGUAGE,COPIES,MEDIA_CODE,TYPE_CODE,DEWEY_NO,AUTHOR_CODE,TITLE_CODE,YEAR_PUB,CITY_PUB,PUB_NAME,PHYS_DESCRIPTION,INDEX_,BIBLIOGRAPHY,LOCATION_CODE,SPEC_LOCATION,PRICE,FUND_CODE,FUND_NOTE,ACCEPT_DATE,DATA_ENTRY,OPERATOR_CODE
030300097,979-688-27,90 menit bersama Descartes,,1,,Indonesia,1,MD001,.,183.2,STR,s,2002,Jakarta,Erlangga,70hlm.; ilus.; 19 cm,hlm. 67-69,,SMU4,BRA001,$0.00 ,PB,,10/9/2004,10/9/2004,OP001
940300098,,Kepemimpinan Dan Nilai-nilai Kehidupan Yang Wajar,,,,Indonesia,6,MD001,.,170,HAR,k,1994,Jakarta,?,80hlm.; ilus.; 23 cm,,,SMU4,BRA001,$0.00 ,PB,"
",10/12/2004,10/12/2004,OP001
960300104,,Instrospeksi,,,,Indonesia,46,MD001,.,100,HAR,i,1996,Jakarta,?,132hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,"
",10/12/2004,10/12/2004,OP001
820300049,,Perpustakaan sekolah 6,6,5,,Indonesia,1,MD001,.,027,MAR,p,1981,Jakarta,Pusat Pengembangan Penataran Guru Tertulis,40hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,"
",10/13/2004,10/13/2004,OP001
820300050,,Perpustakaan Sekolah 7,7,5,,Indonesia,1,MD001,.,027,MAR,p,1981,Jakarta,Pusat Pengembangan Penataran Guru Tertulis,38hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,10/13/2004,10/13/2004,OP001
820300051,,Perpustakaan Sekolah 8,8,5,,Indonesia,1,MD001,.,027,MAR,p,1981,Jakarta,Pusat Pengembangan Penataran Guru Tertulis,35hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,10/13/2004,10/13/2004,OP001
820300052,,Perpustakaan Sekolah 9,9,5,,Indonesia,1,MD001,.,027,MAR,p,1981,Jakarta,Pusat Pengembangan Penataran Guru Tertulis,25hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,10/13/2004,10/13/2004,OP001
820300053,,Perpustakaan Sekolah 10,10,5,,Indonesia,1,MD001,.,027,MAR,p,1981,Jakarta,Pusat Pengembangan Penataran Guru Tertulis,32hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,10/13/2004,10/13/2004,OP001
820300054,,Perpustakaan Sekolah 11,11,5,,Indonesia,1,MD001,.,027,MAR,p,1981,Jakarta,Pusat Pengembangan Penataran Guru Tertulis,29 hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,10/13/2004,10/13/2004,OP001
820300055,,Perpustakaan Sekolah 12,12,5,,Indonesia,1,MD001,.,027,MAR,p,1981,Jakarta,Pusat Pengembangan Penataran Guru Tertulis,25 hlm.; ilus.; 21 cm,,,SMU4,BRA001,$0.00 ,HD,,10/13/2004,10/13/2004,OP001
980200098,979-407-18,Kamus besar bahasa indonesia,,4,,Indonesia,3,MD001,REF,499.221 3,MOE,k,1990,Jakarta,Balai Pustaka,"xix,1090hlm.; ilus.; 25cm.",,,SMU4,BRA001,$0.00 ,HD,"
",10/27/2004,10/27/2004,OP001
980200101,979-407-18,Kamus besar bahasa indonesia,,9,2,Indonesia,3,MD001,REF,499.221 3,ALI,k,1997,Jakarta,Balai Pustaka,"xxxiv,1278hlm.; ilus.; 25cm",,,SMU4,BRA001,$0.00 ,HD,"
",10/27/2004,10/27/2004,OP001
